markov_blanket
"[0, 8, 10, 14, 15, 17]"
"[17, 1, 4, 8]"
"[17, 2, 8, 10]"
"[17, 3, 4, 7]"
"[1, 17, 3, 4, 7]"
"[17, 5, 9, 12, 13, 15]"
"[17, 11, 6]"
"[16, 17, 3, 4, 7]"
"[0, 17, 2, 1, 8, 10]"
"[17, 5, 9, 15]"
"[0, 2, 8, 10, 14, 15, 17]"
"[17, 11, 6]"
"[17, 5, 12, 13, 15]"
"[17, 5, 12, 13, 15]"
"[0, 17, 10, 14, 15]"
"[0, 5, 9, 10, 12, 13, 14, 15, 17]"
"[17, 7]"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
