markov_blanket
"[0, 3, 21, 6]"
"[1, 20, 6, 10, 11]"
"[9, 2, 4, 17]"
"[0, 19, 3, 6, 14]"
"[17, 2, 4, 5, 12]"
"[8, 5, 4, 12]"
"[0, 1, 3, 20, 6]"
"[16, 18, 22, 7, 9, 11]"
"[12, 5]"
"[16, 18, 2, 22, 7, 9]"
"[1, 10, 13]"
"[1, 11, 7]"
"[8, 5, 4, 12]"
[10]
"[19, 3, 14]"
[15]
"[16, 18, 22, 7, 9]"
"[17, 2, 4]"
"[16, 18, 22, 7, 9]"
"[3, 19, 14]"
"[1, 20, 6]"
"[0, 21]"
"[16, 18, 22, 7, 9]"
