markov_blanket
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[0, 1, 2, 3, 4, 7, 8, 9]"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[0, 1, 2, 3, 7, 8, 9]"
"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[0, 2, 4, 5, 6, 8]"
"[0, 2, 4, 5, 6, 8, 9]"
"[0, 1, 2, 3, 4, 7, 8, 9]"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
