markov_blanket
"[0, 2, 3, 7, 12, 13, 15, 19, 21]"
"[1, 12, 5, 22]"
"[0, 2, 21, 7, 25, 13, 15]"
"[0, 18, 19, 3, 24, 10]"
[13]
"[1, 5, 24, 11, 12]"
"[18, 6, 24, 10, 12]"
"[0, 2, 7, 12, 13, 15, 21, 25, 27]"
"[19, 8, 9, 10, 11]"
"[17, 20, 8, 9, 14]"
"[3, 6, 8, 10, 14, 18, 19, 24]"
"[17, 5, 8, 24, 11]"
"[0, 1, 5, 6, 7, 12, 15]"
"[0, 2, 4, 7, 13, 17, 20, 21, 22, 24]"
"[17, 20, 23, 9, 10, 14]"
"[0, 2, 7, 25, 26, 12, 15]"
[24]
"[17, 20, 24, 9, 11, 13, 14]"
"[18, 3, 6, 24, 10]"
"[0, 3, 19, 8, 10]"
"[17, 20, 9, 13, 14]"
"[0, 2, 21, 7, 24, 13]"
"[24, 1, 13, 22]"
[14]
"[3, 5, 6, 10, 11, 13, 16, 17, 18, 21, 22, 24]"
"[2, 7, 25, 27, 15]"
"[26, 15]"
"[25, 27, 7]"
