markov_blanket
"[0, 1, 2, 5, 6, 8, 10, 11]"
"[0, 1, 4, 8, 10, 11, 12]"
"[0, 2, 4, 6]"
"[3, 4, 5, 6, 7, 9]"
"[1, 2, 3, 4, 7, 9]"
"[0, 3, 5, 6, 8, 9]"
"[0, 2, 3, 5, 6, 9]"
"[3, 4, 7, 9, 10]"
"[0, 1, 5, 8, 10, 11, 12]"
"[3, 4, 5, 6, 7, 9]"
"[0, 1, 7, 8, 10, 11, 12]"
"[0, 1, 8, 10, 11, 12]"
"[1, 8, 10, 11, 12]"
