markov_blanket
"[11, 5]"
"[1, 2, 5, 7, 9]"
"[1, 2, 4, 5]"
"[3, 4, 5, 8, 10, 11, 12]"
"[2, 3, 4, 8, 10, 12]"
"[0, 1, 2, 3, 5, 7, 8, 11]"
[7]
"[1, 5, 6, 7]"
"[3, 4, 5, 8, 10, 11]"
"[9, 1]"
"[3, 4, 8, 10, 12]"
"[0, 3, 5, 8, 11]"
"[3, 4, 10, 12]"
