markov_blanket
"[0, 5, 6, 7, 12, 15, 19, 23, 25]"
"[1, 4, 7, 8, 10, 14, 17, 21, 24]"
"[13, 22]"
"[16, 3, 20, 4, 9]"
"[16, 1, 3, 4, 8, 9, 10]"
"[0, 5, 7]"
"[0, 19, 23, 25, 12, 15]"
"[0, 1, 5, 7, 8, 10, 14, 17, 21, 24]"
"[1, 4, 7, 8, 10, 14, 17, 21, 24]"
"[16, 18, 3, 20, 4, 9]"
"[1, 4, 7, 8, 10, 14, 17, 21, 24]"
"[13, 22]"
"[0, 19, 6, 23, 25, 12, 15]"
"[2, 22, 11, 13]"
"[1, 7, 8, 10, 14, 17, 21, 24]"
"[0, 19, 6, 23, 25, 12, 15]"
"[16, 3, 4, 9]"
"[1, 7, 8, 10, 14, 17, 21, 24]"
"[9, 18, 20]"
"[0, 19, 6, 23, 25, 12, 15]"
"[18, 3, 20, 9]"
"[1, 7, 8, 10, 14, 17, 21, 24]"
"[2, 22, 11, 13]"
"[0, 19, 6, 23, 25, 12, 15]"
"[1, 7, 8, 10, 14, 17, 21, 24]"
"[0, 19, 6, 23, 25, 12, 15]"
