markov_blanket
"[0, 4, 5, 6, 8, 11, 13, 15, 18]"
"[1, 3, 23, 22, 7]"
"[2, 7, 10, 12, 14, 16, 17, 19, 20, 21]"
"[1, 3, 22, 23, 6, 9]"
"[0, 4, 6, 8, 9, 11, 13, 15, 18]"
"[0, 8]"
"[0, 3, 4, 6, 8, 9, 11, 13, 15, 18]"
"[1, 2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[0, 4, 5, 6, 8, 11, 13, 15, 18]"
"[3, 4, 6, 9]"
"[2, 7, 10, 12, 14, 16, 17, 19, 20, 21]"
"[0, 4, 6, 8, 11, 13, 15, 18]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[0, 4, 6, 8, 11, 13, 15, 18]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[0, 4, 6, 8, 11, 13, 15, 18]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[17, 2, 10]"
"[0, 4, 6, 8, 11, 13, 15, 18]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[2, 7, 10, 12, 14, 16, 19, 20, 21]"
"[1, 3, 22, 23]"
"[1, 3, 22, 23]"
