markov_blanket
"[0, 1]"
"[0, 1, 2, 3, 8]"
"[1, 2, 4, 8]"
"[1, 3, 5, 6, 8, 10]"
"[2, 4, 5, 6, 7, 8, 10, 11]"
"[3, 4, 5, 6, 7, 8, 9, 10, 11]"
"[3, 4, 5, 6, 7, 8, 9, 10, 11]"
"[4, 5, 6, 7, 8, 9, 10]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"[5, 6, 7, 8, 9, 10, 11]"
"[3, 4, 5, 6, 7, 8, 9, 10, 11]"
"[4, 5, 6, 8, 9, 10, 11]"
