markov_blanket
"[0, 1, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 18]"
"[0, 1, 3, 5, 8, 12, 15, 17]"
"[6, 7]"
"[0, 1, 3, 5, 8, 12, 15, 18]"
"[0, 4, 5, 6, 7, 10, 14, 16, 18]"
"[0, 1, 3, 4, 5, 8, 12, 15, 16, 18]"
"[0, 2, 4, 6, 7, 10, 13, 14, 16, 18]"
"[2, 4, 6, 7]"
"[0, 1, 3, 5, 8, 9, 12, 15, 17, 19]"
"[17, 19, 8, 9, 12, 15]"
"[0, 4, 6, 10, 11, 13, 14, 16, 18]"
"[16, 10, 11, 13, 14]"
"[0, 1, 3, 5, 8, 9, 12, 15]"
"[0, 6, 10, 11, 13, 14, 16, 18]"
"[0, 4, 6, 10, 11, 13, 14, 16, 18]"
"[0, 1, 3, 5, 8, 9, 12, 15, 17, 18]"
"[0, 4, 5, 6, 10, 11, 13, 14, 16, 18]"
"[1, 17, 19, 8, 9, 15]"
"[0, 3, 4, 5, 6, 10, 13, 14, 15, 16, 18]"
"[17, 19, 8, 9]"
