markov_blanket
"[64, 0, 34, 6, 48, 18, 55, 23, 61]"
"[64, 65, 1, 68, 8, 73, 74, 77, 17, 83, 23, 25, 35, 52]"
"[2, 67, 51, 43, 44, 47]"
"[65, 9, 23]"
"[48, 65, 34, 4, 56, 76]"
"[33, 36, 5, 37, 7, 63, 19, 51, 57, 61, 62, 31]"
"[0, 48, 6, 56, 8, 61]"
"[5, 7, 78, 12, 62]"
"[1, 6, 56, 8, 74]"
"[65, 3, 37, 23, 9, 61]"
"[65, 23]"
"[33, 82, 68, 85]"
"[54, 7, 12, 29, 78]"
"[13, 67, 69, 37, 71, 57, 61]"
"[36, 72, 14, 17, 51, 26, 61, 62]"
[17]
[51]
"[64, 1, 65, 72, 73, 14, 15, 17, 51, 83, 23, 25, 60, 61]"
"[0, 64, 66, 18, 25]"
"[19, 5, 39]"
"[56, 32, 20]"
"[72, 51]"
"[51, 36, 70, 22, 72, 42]"
"[64, 1, 0, 3, 65, 68, 73, 10, 9, 77, 17, 83, 23, 25, 35, 41, 52, 56, 59]"
"[42, 36]"
"[1, 66, 65, 17, 18, 51, 23, 25, 60, 30]"
"[64, 26, 14]"
"[51, 72, 58, 27]"
"[49, 50, 28]"
"[54, 12, 29, 78]"
[25]
"[51, 36, 5, 57, 61, 63]"
"[32, 20, 39]"
"[33, 82, 68, 37, 5, 85, 11]"
"[0, 65, 34, 4, 53, 55, 56]"
"[64, 1, 65, 35, 69, 75, 77, 51, 85, 23]"
"[36, 5, 42, 46, 14, 63, 51, 22, 24, 57, 61, 31]"
"[33, 69, 37, 5, 9, 13, 49, 61]"
[51]
"[32, 19, 39]"
"[40, 61, 53]"
"[65, 23]"
"[51, 36, 22, 24, 42, 46]"
"[2, 67, 51, 43, 44, 47]"
"[2, 67, 51, 43, 44, 47]"
"[48, 81, 80, 67, 71, 45, 79]"
"[42, 36]"
"[51, 2, 43, 44]"
"[0, 67, 4, 6, 76, 45, 79, 48, 81, 80, 61]"
"[49, 28, 37]"
"[66, 28, 50]"
"[2, 69, 70, 5, 72, 75, 14, 16, 17, 85, 21, 22, 25, 27, 31, 35, 36, 38, 42, 43, 44, 47, 51, 57, 58, 61, 63]"
"[64, 65, 1, 84, 52, 54, 23]"
"[40, 34, 53]"
"[52, 84, 54, 12, 29]"
"[0, 65, 34, 55, 56]"
"[65, 34, 4, 6, 8, 73, 83, 20, 23, 55, 56]"
"[67, 36, 5, 13, 63, 51, 57, 61, 31]"
"[72, 51, 27]"
"[65, 23]"
"[17, 25]"
"[0, 67, 5, 6, 72, 9, 13, 14, 17, 31, 36, 37, 40, 48, 51, 57, 61, 63]"
"[62, 5, 14, 7]"
"[67, 36, 5, 63, 51, 57, 61, 31]"
"[0, 65, 1, 64, 68, 73, 77, 17, 18, 83, 23, 26, 35, 52]"
"[64, 1, 65, 3, 4, 68, 73, 10, 9, 77, 17, 83, 23, 25, 34, 35, 41, 52, 55, 56, 59]"
"[25, 18, 50, 66]"
"[2, 67, 43, 44, 45, 13, 79, 48, 81, 80, 57, 61, 63]"
"[64, 1, 65, 33, 68, 11, 77, 82, 85, 23]"
"[51, 35, 37, 85, 69, 75, 13]"
"[72, 51, 22]"
"[13, 45, 71]"
"[70, 72, 14, 17, 51, 21, 22, 58, 27, 61]"
"[64, 65, 1, 73, 17, 83, 23, 56]"
"[8, 1, 74]"
"[51, 35, 85, 69, 75]"
"[48, 76, 4]"
"[64, 1, 65, 35, 68, 23, 77]"
"[7, 12, 29, 78]"
"[48, 81, 80, 67, 45, 79]"
"[80, 48, 81, 67, 45, 79]"
"[48, 81, 80, 67, 45, 79]"
"[33, 82, 68, 85, 11]"
"[64, 65, 1, 73, 17, 83, 23, 56]"
"[54, 84, 52]"
"[33, 35, 68, 69, 11, 75, 82, 51, 85]"
