markov_blanket
"[0, 4, 7, 12, 14, 16, 17, 19, 22, 23, 25]"
"[1, 18, 3, 19, 21, 14]"
"[2, 3, 4, 5, 7, 9, 11, 12, 15, 21, 25]"
"[1, 2, 3, 4, 7, 9, 11, 12, 15, 16, 21, 25]"
"[0, 2, 3, 4, 5, 7, 9, 11, 12, 15, 16, 21, 22, 25]"
"[2, 4, 5, 7, 25, 11]"
"[16, 20, 6]"
"[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 19, 21, 22, 23, 25]"
"[8, 13, 14, 18, 19, 20, 22, 23, 24]"
"[2, 3, 4, 7, 9, 11, 12, 15, 16, 17, 21, 25]"
"[17, 18, 19, 10, 15]"
"[2, 3, 4, 5, 7, 9, 11, 12, 15, 21, 25]"
"[0, 2, 3, 4, 7, 9, 11, 12, 15, 16, 17, 21, 25]"
"[18, 19, 8, 13, 14]"
"[0, 1, 7, 8, 13, 14, 15, 18, 19, 20, 22, 23, 24, 25]"
"[2, 3, 4, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
"[0, 3, 4, 6, 7, 9, 12, 15, 16, 21, 22, 25]"
"[0, 9, 10, 12, 15, 17, 18, 19, 21]"
"[1, 8, 10, 13, 14, 15, 17, 18, 19, 23, 24]"
"[0, 1, 7, 8, 10, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25]"
"[6, 8, 14, 15, 19, 20, 22, 23, 24]"
"[1, 2, 3, 4, 7, 9, 11, 12, 15, 16, 17, 21, 25]"
"[0, 4, 7, 8, 14, 15, 16, 19, 20, 22, 23, 24, 25]"
"[0, 7, 8, 14, 15, 18, 19, 20, 22, 23, 24, 25]"
"[8, 14, 15, 18, 19, 20, 22, 23, 24]"
"[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 19, 21, 22, 23, 25]"
