markov_blanket
"[0, 1, 2, 5, 7, 8]"
"[0, 1, 2, 3, 4, 5, 8]"
"[0, 1, 2, 3, 4, 5, 8]"
"[1, 2, 3, 4, 6, 8]"
"[1, 2, 3, 4, 6, 7, 8]"
"[0, 1, 2, 5, 7, 8]"
"[3, 4, 6, 7]"
"[0, 4, 5, 6, 7]"
"[0, 1, 2, 3, 4, 5, 8]"
