markov_blanket
"[0, 2, 8, 9, 10, 11, 12, 13, 14, 15]"
"[1, 18, 6]"
"[0, 2, 7, 8, 9, 11, 14, 15]"
"[10, 3, 20]"
"[19, 12, 4]"
"[5, 6, 8, 9, 10, 11, 15]"
"[1, 5, 6, 8, 9, 10, 11, 15]"
"[17, 2, 7]"
"[0, 2, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16]"
"[0, 2, 5, 6, 8, 9, 10, 11, 12, 15]"
"[0, 3, 5, 6, 8, 9, 10, 11, 12, 15]"
"[0, 2, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16]"
"[0, 4, 8, 9, 10, 11, 12, 15]"
"[0, 13, 21]"
"[0, 8, 2, 11]"
"[0, 2, 5, 6, 8, 9, 10, 11, 12, 15]"
"[8, 11]"
"[17, 7]"
"[1, 18]"
"[19, 4]"
"[3, 20]"
"[13, 21]"
