membership
0
1
2
1
0
2
3
4
5
6
2
0
7
3
7
8
6
3
8
7
2
8
8
8
6
2
5
2
0
2
3
7
8
1
8
2
3
9
4
7
9
4
6
7
10
4
4
3
7
6
2
10
8
3
1
4
10
9
6
7
0
