membership
0
0
1
2
3
4
5
3
6
5
5
6
0
4
1
6
3
6
5
7
8
8
7
9
6
3
10
2
3
0
10
8
1
1
9
11
4
8
12
3
4
12
0
0
9
5
4
9
0
11
10
8
3
11
3
11
8
9
2
3
11
5
1
9
3
12
12
12
12
2
10
8
10
9
9
10
8
8
0
6
0
1
3
3
3
4
9
3
2
3
3
3
3
0
3
3
9
3
3
3
3
3
2
3
