membership
0
1
1
2
3
4
1
4
5
5
6
7
6
1
8
5
9
7
10
6
11
9
4
12
5
8
3
13
14
3
7
15
3
15
12
4
1
4
12
14
3
1
14
7
11
6
11
8
5
0
1
12
10
6
5
1
3
8
14
14
14
0
13
13
8
4
12
8
14
12
14
4
16
2
6
3
1
7
3
7
1
9
2
6
6
5
14
14
17
8
14
14
6
17
5
16
2
10
4
8
12
