membership
0
1
2
3
4
4
5
6
7
5
3
8
9
10
10
11
12
13
2
8
14
9
8
15
6
5
13
2
6
8
16
10
1
5
11
3
6
15
3
6
12
10
13
13
13
15
16
4
3
5
10
7
17
15
11
14
18
11
5
17
8
16
1
13
11
5
12
9
15
10
0
0
11
8
14
10
5
4
15
13
18
18
17
18
12
6
3
11
11
13
19
16
14
10
8
5
7
10
12
1
14
3
4
13
14
8
8
9
5
0
13
13
6
14
5
19
15
14
