membership
0
1
2
3
4
5
6
7
8
6
7
1
9
10
1
11
0
12
9
13
14
14
15
12
16
17
16
16
7
4
1
16
15
10
4
12
18
19
5
12
3
6
10
4
15
14
9
15
11
20
10
9
3
0
15
17
10
4
3
21
11
19
1
4
9
0
13
10
3
4
19
16
22
11
0
6
22
9
21
0
10
6
12
0
3
13
12
0
12
12
2
3
10
10
4
3
6
9
6
0
10
19
1
10
14
5
0
5
19
9
13
9
22
15
16
4
12
17
0
5
10
9
2
10
16
4
2
15
13
2
16
14
10
2
4
2
9
19
9
19
19
19
10
6
22
0
12
5
1
7
22
20
13
12
6
10
12
6
7
20
9
10
9
13
10
22
18
8
19
10
1
20
6
9
5
6
6
10
6
8
6
12
10
10
6
0
4
9
