membership
0
1
2
3
4
2
5
5
0
6
7
4
8
1
9
8
10
7
2
11
0
10
1
8
8
5
1
7
6
10
5
1
11
11
2
12
5
3
2
1
2
0
1
5
1
5
10
1
11
4
0
5
1
6
1
4
9
2
10
11
0
5
12
5
7
5
11
