membership
0
1
2
0
3
2
0
3
4
4
4
4
0
0
5
4
6
6
4
1
2
4
7
3
4
4
8
0
1
8
4
5
3
4
4
1
4
2
6
2
0
6
4
0
8
4
5
0
4
0
7
7
2
4
6
6
1
3
0
3
4
4
4
2
4
1
4
2
0
4
4
4
4
