membership
0
1
2
3
0
4
5
6
7
3
8
8
9
3
10
11
12
7
13
2
13
7
14
15
12
16
13
9
8
9
7
17
8
10
3
12
1
7
10
0
8
2
7
0
7
0
15
8
2
10
13
8
13
1
2
0
7
9
15
13
8
0
0
17
16
10
7
7
8
3
10
15
4
7
1
0
11
0
18
2
14
6
5
0
17
1
8
15
18
17
0
