membership
0
1
2
3
4
5
2
1
6
5
7
1
8
9
10
11
9
12
4
1
10
13
13
14
2
9
9
15
16
9
9
1
7
9
14
15
17
9
7
9
8
1
15
18
13
13
14
15
11
15
15
13
5
13
16
15
19
15
19
15
1
0
1
9
6
6
14
11
1
2
5
5
16
19
12
9
1
0
12
17
0
4
2
15
20
4
7
15
11
0
13
4
2
19
9
5
13
13
1
6
15
20
13
17
15
2
3
15
4
5
13
20
2
10
18
14
2
1
6
16
6
14
1
13
15
10
5
2
14
6
15
15
3
8
15
16
2
14
15
