membership
0
1
2
3
2
4
2
5
6
2
7
8
9
10
11
12
11
9
13
14
15
7
15
9
16
17
6
18
19
0
20
4
1
4
15
17
9
20
5
5
17
3
21
3
22
10
10
6
2
23
10
19
24
2
14
19
23
16
16
13
15
20
4
5
5
20
10
6
7
25
14
26
14
19
3
3
24
25
2
9
19
12
27
8
26
3
14
9
22
5
19
4
27
3
11
20
10
8
7
13
12
18
7
25
16
2
16
13
12
6
9
9
11
21
20
28
14
16
11
28
16
24
23
9
3
24
4
16
9
16
23
