membership
0
0
1
2
2
3
3
4
4
4
4
4
4
4
5
4
6
6
2
2
6
6
6
6
6
6
6
6
7
7
7
7
7
5
5
5
1
5
1
1
1
5
5
5
5
5
5
5
5
5
7
7
1
1
1
2
0
7
3
5
